model,class,precision,recall,f1-score,support
Random_Forest,B,0.9958376690946931,0.9989561586638831,0.9973944762897342,958.0
Random_Forest,IR,1.0,0.9989561586638831,0.9994778067885117,958.0
Random_Forest,N,1.0,1.0,1.0,137.0
Random_Forest,OR,0.9989545216936748,0.997911227154047,0.9984326018808778,1915.0
Random_Forest,macro avg,0.998698047697092,0.9989558861204533,0.9988262212397809,3968.0
Gradient_Boosting,B,1.0,1.0,1.0,958.0
Gradient_Boosting,IR,1.0,1.0,1.0,958.0
Gradient_Boosting,N,1.0,0.9927007299270073,0.9963369963369964,137.0
Gradient_Boosting,OR,0.9994780793319415,1.0,0.9997389715478987,1915.0
Gradient_Boosting,macro avg,0.9998695198329854,0.9981751824817519,0.9990189919712238,3968.0
XGBoost,B,1.0,1.0,1.0,958.0
XGBoost,IR,1.0,1.0,1.0,958.0
XGBoost,N,1.0,0.9927007299270073,0.9963369963369964,137.0
XGBoost,OR,0.9994780793319415,1.0,0.9997389715478987,1915.0
XGBoost,macro avg,0.9998695198329854,0.9981751824817519,0.9990189919712238,3968.0
SVM_RBF,B,0.9620512820512821,0.9791231732776617,0.9705121572684946,958.0
SVM_RBF,IR,0.9967602591792657,0.9634655532359081,0.9798301486199575,958.0
SVM_RBF,N,1.0,1.0,1.0,137.0
SVM_RBF,OR,0.9761658031088083,0.9838120104438642,0.9799739921976593,1915.0
SVM_RBF,macro avg,0.983744336084839,0.9816001842393586,0.9825790745215279,3968.0
Logistic_Regression,B,0.8333333333333334,0.8820459290187892,0.8569979716024341,958.0
Logistic_Regression,IR,0.7520775623268698,0.5668058455114823,0.6464285714285715,958.0
Logistic_Regression,N,1.0,1.0,1.0,137.0
Logistic_Regression,OR,0.7933174224343675,0.8678851174934726,0.8289276807980049,1915.0
Logistic_Regression,macro avg,0.8446820795236427,0.829184223005936,0.8330885559572526,3968.0
Stacking_RF_GB_XGB,B,1.0,1.0,1.0,958.0
Stacking_RF_GB_XGB,IR,1.0,1.0,1.0,958.0
Stacking_RF_GB_XGB,N,1.0,0.9927007299270073,0.9963369963369964,137.0
Stacking_RF_GB_XGB,OR,0.9994780793319415,1.0,0.9997389715478987,1915.0
Stacking_RF_GB_XGB,macro avg,0.9998695198329854,0.9981751824817519,0.9990189919712238,3968.0
Stacking_Optimized,B,1.0,1.0,1.0,958.0
Stacking_Optimized,IR,1.0,1.0,1.0,958.0
Stacking_Optimized,N,1.0,0.9927007299270073,0.9963369963369964,137.0
Stacking_Optimized,OR,0.9994780793319415,1.0,0.9997389715478987,1915.0
Stacking_Optimized,macro avg,0.9998695198329854,0.9981751824817519,0.9990189919712238,3968.0
Random_Forest_Optimized,B,0.9989561586638831,0.9989561586638831,0.9989561586638831,958.0
Random_Forest_Optimized,IR,0.9989561586638831,0.9989561586638831,0.9989561586638831,958.0
Random_Forest_Optimized,N,1.0,1.0,1.0,137.0
Random_Forest_Optimized,OR,0.9994778067885117,0.9994778067885117,0.9994778067885117,1915.0
Random_Forest_Optimized,macro avg,0.9993475310290695,0.9993475310290695,0.9993475310290695,3968.0
